major_category,minor_category,recommended_hourly_rate
語学学習,英語,1200
語学学習,TOEIC対策,1200
語学学習,中国語,1200
語学学習,韓国語,1200
語学学習,フランス語,1200
語学学習,ドイツ語,1200
語学学習,スペイン語,1200
語学学習,その他の言語,1200
プログラミング・IT,Web・アプリ開発,1500
プログラミング・IT,AI・データ分析,2000
プログラミング・IT,インフラ・クラウド,1800
プログラミング・IT,その他IT技術,1200
資格・検定,ビジネス系資格,1000
資格・検定,国家資格,1500
資格・検定,IT系資格,1200
資格・検定,大学受験,1200
資格・検定,高校受験,1000
資格・検定,その他の資格,1000
学問・教養,数学・統計,1200
学問・教養,法律・経済・経営,1000
学問・教養,人文系,1000
学問・教養,自然科学系,1000
読書・インプット,ビジネス書・自己啓発書,1000
読書・インプット,技術書・専門書,1200
読書・インプット,教養書・新書,800
仕事・本業,業務スキル研鑽,1500
仕事・本業,資料作成・プレゼン準備,1500
仕事・本業,業界・市場リサーチ,1200
仕事・本業,キャリア設計,1000
副業・フリーランス,Webライティング,1000
副業・フリーランス,デザイン・動画制作,1500
副業・フリーランス,個人開発・プロダクト制作,1500
副業・フリーランス,営業・案件獲得,1200
資産形成・投資,投資の勉強,1200
資産形成・投資,不動産・仮想通貨,1500
資産形成・投資,家計・節約・税金,1000
クリエイティブ制作,イラスト・絵画,1200
クリエイティブ制作,音楽制作・作曲,1200
クリエイティブ制作,写真・動画作品制作,1200
クリエイティブ制作,執筆（小説・エッセイ）,1000
クリエイティブ制作,3DCG・モデリング,1500
運動・トレーニング,筋トレ,1000
運動・トレーニング,ランニング,900
運動・トレーニング,ウォーキング,800
運動・トレーニング,なわとび,800
運動・トレーニング,ヨガ・ストレッチ,800
運動・トレーニング,ラジオ体操,700
運動・トレーニング,スポーツ・武道,1100
自己啓発・マインド,ジャーナリング・日記,900
自己啓発・マインド,目標設定・習慣化,1000
自己啓発・マインド,コーチング・メンタルケア,1200
コミュニケーション,プレゼン・スピーチ練習,1200
コミュニケーション,面接・転職準備,1500
コミュニケーション,交渉術・対人スキル,1200
家事・生活,料理,800
家事・生活,掃除,800
家事・生活,家計簿・家計管理,900
家事・生活,育児・子育て,900
趣味,楽器演奏,800
趣味,写真・カメラ,800
趣味,手芸・DIY・園芸,800
趣味,ブログ・日記執筆,800
趣味,eスポーツ・ゲーム上達,800
趣味,将棋・囲碁・ボードゲーム,700
趣味,その他の趣味,800
